S.No,Category,Consumer (Nos.)As on 31-03-2011,Connected Load (MW)As on 31-03-2011
1,H.T. Supply,7672,7137.547
2,L.T. Supply Domestic,14872846,17535.92
3,L.T. Supply Public Lighting,312858,238.608
4,L.T. Supply Water Supply,178505,635.345
5,L.T. Supply Industry,529651,8666.563
6,L.T. Supply Agriculture,1972563,7997.78
7,L.T. Supply Huts,1445442,74.109
8,"L.T. Supply Education etc.,",114933,284.394
9,L.T. Supply Commercial,2820301,5160.846
10,L.T. Supply Others,89051,112.615
Total,Total,22343822,47843.727
