Type,Name,Net Generation of 2010(M.U),Net Generation of 2011(M.U),Net Generation of 2012(M.U),Net Generation of 2013(M.U),Net Generation of 2014(M.U),Net Generation of 2015(M.U),Net Generation of 2016(M.U),Net Generation of 2017(M.U),Net Generation of 2018(M.U),Net Generation of 2019(M.U),Net Generation of 2020(M.U),Net Generation of 2021(M.U),Net Generation of 2022(M.U)
Gas,Basin Bridge,79.16,49.53,26.97,2.17,22.89,22.89,9.53,10.47,5.22,0.06,22.89,22.89,22.89
Gas,Kovil Kalappal,487.2,605.04,663.28,678.37,373.52,373.52,363.68,308.97,265.65,225.46,333.83,156.44,20.78
Gas,Vazhuthur,504.44,529.85,618.34,421.68,576.26,576.26,675.72,647.25,636.07,576.71,576.26,576.26,576.26
Gas,Vazhuthur phase II,504.44,2.6,333.63,455.04,333.63,333.63,0.0,259.74,564.32,549.24,333.63,333.63,333.63
Gas,Kuttalam,602.78,158.79,382.42,49.47,336.24,336.24,518.48,336.24,305.22,367.55,477.75,425.58,74.39
Hydro,Pykara,63.92,28.66,39.19,39.27,26.95,26.95,56.15,12.5,0.8,21.79,0.6,32.9,0.7
Hydro,Pykara Micro Hydel,9.61,5.47,5.83,3.62,5.79,5.79,5.44,3.3,4.73,8.35,5.79,5.79,5.79
Hydro,PUSHEP,557.3,428.72,354.19,193.41,347.68,347.68,279.24,191.75,272.01,504.86,347.68,347.68,347.68
Hydro,Moyar,210.97,154.91,131.12,77.47,118.53,118.53,115.64,48.97,93.87,161.49,117.13,156.9,35.35
Hydro,Maravakandi Micro Hydel,1.21,1.98,0.75,0.69,0.94,0.94,0.97,0.32,0.76,0.85,0.94,0.94,0.94
Hydro,Parsons valley,65.14,39.18,35.7,30.01,36.53,36.53,25.5,23.99,26.95,45.78,36.53,36.53,36.53
Hydro,Kundah - 1,278.02,218.18,217.45,180.59,218.18,218.18,229.64,156.81,124.82,270.05,302.63,329.3,92.49
Hydro,Kundah - 2,733.42,570.28,577.02,453.17,570.28,570.28,619.67,406.08,373.8,677.91,763.3,872.98,225.45
Hydro,Kundah - 3,435.92,335.15,348.08,262.84,335.15,335.15,364.17,213.42,182.25,395.67,447.75,565.26,136.18
Hydro,Kundah - 4,166.71,121.34,156.4,70.83,121.34,121.34,117.32,47.17,76.17,148.21,136.03,273.27,21.24
Hydro,Kundah - 5,84.98,58.65,52.94,42.72,58.65,58.65,37.61,43.22,45.83,89.58,89.86,77.88,21.85
Hydro,Mettur Dam,82.26,94.64,153.2,83.05,100.26,100.26,92.14,44.16,50.39,147.69,131.96,186.68,36.74
Hydro,Mettur Tunnel,388.63,265.37,470.73,119.77,292.07,292.07,245.86,80.35,162.82,439.93,376.86,625.35,37.14
Hydro,LMHEP-Barrage-1,80.07,70.98,107.58,45.88,64.62,64.62,40.44,21.87,64.62,68.68,80.84,117.37,12.54
Hydro,LMHEP-Barrage-2,75.79,65.98,101.61,40.37,60.21,60.21,62.22,23.59,60.21,30.4,81.31,108.25,12.57
Hydro,LMHEP-Barrage-3,76.44,66.53,105.48,39.69,64.96,64.96,63.39,25.12,64.96,64.42,81.41,116.02,11.1
Hydro,LMHEP-Barrage-4,62.46,56.16,83.95,30.1,53.41,53.41,53.86,19.49,53.41,52.82,68.57,98.4,8.31
Hydro,Bhavani Kattalai PH-1,74.5,71.22,82.48,70.14,82.48,82.48,164.44,58.47,74.59,69.05,107.7,125.32,9.4
Hydro,Bhavanisagar RBC,26.75,20.71,23.74,0.06,12.71,12.71,7.16,0.0,4.54,18.71,12.71,12.71,12.71
Hydro,Bhavani Sagar Micro Hydel,36.63,32.98,41.44,16.07,27.65,27.65,30.01,18.19,14.86,30.98,27.65,27.65,27.65
Hydro,Poonachi Micro,3.38,4.5,1.44,1.66,2.43,2.43,3.2,1.72,0.42,3.12,2.43,2.43,2.43
Hydro,Sathanur Micro,6.51,10.19,10.72,5.04,7.87,7.87,10.7,0.41,13.15,6.26,7.87,7.87,7.87
Hydro,Mukurthy Micro,2.18,1.44,1.48,1.12,1.08,1.08,0.29,0.26,0.76,1.08,1.08,1.08,1.08
Hydro,Thirumoorthy Micro,3.13,3.8,3.21,1.94,2.4,2.4,1.16,1.36,1.78,2.82,2.4,2.4,2.4
Hydro,Lower Aliyar,7.78,8.53,8.64,3.98,5.77,5.77,8.01,0.01,3.28,5.92,5.77,5.77,5.77
Hydro,Amaravathy,10.16,8.69,6.65,2.22,5.95,5.95,4.84,0.77,4.8,9.43,5.95,5.95,5.95
Hydro,Perunchani,2.34,2.68,0.93,0.24,1.32,1.32,1.25,0.01,0.12,2.96,1.32,1.32,1.32
Hydro,Periyar,394.75,428.74,533.25,177.93,435.14,435.14,503.08,93.09,286.23,701.21,507.64,1039.16,121.48
Hydro,Vaigai Micro Hydel,10.37,15.14,23.54,3.12,12.67,12.67,17.93,1.65,6.58,23.06,12.67,12.67,12.67
Hydro,Suruliyar,98.63,97.75,115.18,49.08,85.09,85.09,92.04,41.92,70.34,92.27,92.63,101.07,85.09
Hydro,Papanasam,129.2,136.78,121.6,62.64,113.97,113.97,115.74,65.71,114.11,120.6,129.97,216.85,40.48
Hydro,Servalar,26.05,38.84,27.1,9.55,27.74,27.74,38.92,11.86,26.41,43.16,27.74,27.74,27.74
Hydro,Sarkarpathy,121.08,134.79,109.46,83.59,100.77,100.77,79.11,63.19,85.37,129.57,100.77,100.77,100.77
Hydro,Aliyar,165.69,162.92,173.91,76.23,108.4,108.4,152.41,61.22,89.75,48.29,136.91,94.62,30.5
Hydro,Kadamparai,496.72,568.95,506.53,297.3,398.16,398.16,411.06,286.74,381.3,431.43,427.95,444.61,127.22
Hydro,Sholayar-1,287.04,355.21,216.97,145.08,209.18,209.18,206.63,183.81,101.24,177.47,209.18,209.18,209.18
Hydro,Sholayar-2,63.52,56.96,60.96,56.36,55.06,55.06,56.56,42.58,60.43,43.13,55.06,55.06,55.06
Hydro,Kodayar-1,195.91,80.86,214.47,74.73,136.92,136.92,192.27,126.8,82.11,143.71,164.08,140.66,90.46
Hydro,Kodayar-2,83.17,64.17,81.26,63.03,63.03,63.03,85.55,42.01,50.2,50.24,75.04,91.33,7.33
Thermal,Ennore TPS,1217.64,1175.99,744.15,610.23,385.41,385.41,347.36,144.16,0.0,0.0,0.0,0.0,0.0
Thermal,North Chennai TPS,4411.07,4110.0,4300.95,4633.51,4040.57,4040.57,4046.39,3365.75,3824.14,3632.76,4040.57,4040.57,4040.57
Thermal,Tuticorin TPS,6543.42,6522.58,7261.89,7620.48,6166.85,6166.85,6501.37,5089.66,4812.82,5807.85,4060.58,6374.71,7239.96
Thermal,Mettur TPS,5868.25,5548.56,6279.63,5684.45,5509.12,5509.12,5471.33,5239.7,4666.67,5314.34,5509.12,5509.12,5509.12
