date,Peak_Demand_Met5(MW)
2012-05-01,10491.0
2012-06-01,11283.0
2012-07-01,11105.0
2012-08-01,10751.0
2012-09-01,10534.0
2012-10-01,10477.0
2012-11-01,8518.0
2012-12-01,9625.0
2013-01-01,9942.0
2013-02-01,10258.0
2013-03-01,10783.0
2013-04-01,11641.0
2013-05-01,12035.0
2013-06-01,11854.0
2013-07-01,11794.0
2013-08-01,12092.0
2013-09-01,12218.0
2013-10-01,12118.0
2013-11-01,11017.0
2013-12-01,11863.0
2014-01-01,12799.0
2014-02-01,12037.0
2014-03-01,12650.0
2014-04-01,12747.0
2014-05-01,12991.0
2014-06-01,13771.0
2014-07-01,13293.0
2014-08-01,12884.4
2014-09-01,13200.0
2014-10-01,11800.0
2014-11-01,13771.0
2014-12-01,11638.0
2015-01-01,12149.0
2015-02-01,12642.0
2015-03-01,13051.0
2015-04-01,12727.0
2015-05-01,13038.0
2015-06-01,13278.0
2015-07-01,13766.0
2015-08-01,13658.0
2015-09-01,13754.0
2015-10-01,13307.0
2015-11-01,12481.0
2015-12-01,12680.0
2016-01-01,13576.0
2016-02-01,14533.0
2016-03-01,14534.0
2016-04-01,15107.0
2016-05-01,15015.0
2016-06-01,14640.0
2016-07-01,14686.0
2016-08-01,14427.0
2016-09-01,14568.0
2016-10-01,14688.0
2016-11-01,14163.0
2016-12-01,13584.0
2017-01-01,14008.0
2017-02-01,13954.0
2017-03-01,14584.0
2017-04-01,15196.0
2017-05-01,15035.0
2017-06-01,14776.0
2017-07-01,14918.0
2017-08-01,13956.0
2017-09-01,14033.0
2017-10-01,13716.0
2017-11-01,14561.0
2017-12-01,13890.0
2018-01-01,14373.0
2018-02-01,14681.0
2018-03-01,15193.0
2018-04-01,15411.0
2018-05-01,15122.0
2018-06-01,15183.0
2018-07-01,15061.0
2018-08-01,14984.0
2018-09-01,14946.0
2018-10-01,14946.0
2018-11-01,14946.0
2018-12-01,14946.0
2019-01-01,14946.0
2019-02-01,15562.0
2019-03-01,16129.0
2019-04-01,16386.0
2019-05-01,15952.0
2019-06-01,14411.0
2019-07-01,14103.0
2019-08-01,16386.0
2019-09-01,15133.0
2019-10-01,14701.0
2019-11-01,14213.0
2019-12-01,13978.0
2020-01-01,14719.0
2020-02-01,15128.0
2020-03-01,15591.0
2020-04-01,11498.0
2020-05-01,14343.0
2020-06-01,14814.0
2020-07-01,13589.0
2020-08-01,14491.0
2020-09-01,14836.0
2020-10-01,14564.0
2020-11-01,15298.0
2020-12-01,14238.0
2021-01-01,14163.0
2021-02-01,15298.0
2021-03-01,16481.0
2021-04-01,16846.0
2021-05-01,15957.0
2021-06-01,16040.0
2021-07-01,15579.0
2021-08-01,16029.0
2021-09-01,15786.0
2021-10-01,14675.0
2021-11-01,13480.0
2021-12-01,14501.0
2022-01-01,15290.0
2022-02-01,16262.0
2022-03-01,17196.0
2022-04-01,17563.0
2022-05-01,16906.0
