state,Requirement(MU/DAY),Energy_met(MU/DAY),Surplus(+)/Deficit(-)(MU/DAY),Requirement(MU),Energy_met(MU),Surplus(+)/Deficit(-)(MU),%Shortage(MU),Requirement(MW),Peak_Demand_Met5(MW),Surplus(+)/Deficit(-)(MW),%Shortage(MW),date_report,name_report
Tamil Nadu,354.0,354.0,-0.9,10632.0,10605.0,-26.0,-0.2,17646.0,17563.0,-83.0,-0.5,23-05-2022,Monthly_Report_Apr_2022
Tamil Nadu,337.0,337.0,0.0,10459.0,10458.0,-1.0,0.0,16906.0,16906.0,0.0,0.0,23-06-2022,Monthly_Report_May_2022
Tamil Nadu,344.0,343.0,-0.3,10657.0,10648.0,-9.0,-0.1,17196.0,17196.0,0.0,0.0,25-04-2022,Monthly_Report_Mar_2022
Tamil Nadu,286.0,286.0,0.0,8873.0,8873.0,1.0,0.0,15290.0,15290.0,0.0,0.0,23-02-2022,Monthly_Report_Jan_2022
Tamil Nadu,245.0,245.0,0.0,7362.0,7360.0,-1.0,0.0,13501.0,13480.0,-21.0,-0.2,23-12-2021,Monthly_Report_Nov_2021
Tamil Nadu,314.0,314.0,0.1,9431.0,9434.0,3.0,0.0,15927.0,15786.0,-141.0,-0.9,23-10-2021,Monthly_Report_Sep_2021
Tamil Nadu,310.0,310.0,0.1,9599.0,9602.0,2.0,0.0,15579.0,15579.0,0.0,0.0,23-08-2021,Monthly_Report_Jul_2021
Tamil Nadu,300.0,300.0,-0.1,9295.0,9293.0,-2.0,0.0,15957.0,15957.0,0.0,0.0,23-06-2021,Monthly_Report_May_2021.pdf
Tamil Nadu,322.0,322.0,0.0,9028.0,9028.0,0.0,0.0,16262.0,16262.0,0.0,0.0,23-03-2022,Monthly_Report_Feb_2022
Tamil Nadu,277.0,277.0,0.0,8590.0,8590.0,1.0,0.0,14501.0,14501.0,0.0,0.0,24-01-2022,Monthly_Report_Dec_2021
Tamil Nadu,292.0,292.0,-0.2,9067.0,9062.0,-5.0,-0.1,14712.0,14675.0,-37.0,-0.3,23-11-2021,Monthly_Report_Oct_2021
Tamil Nadu,323.0,323.0,-0.1,10010.0,10008.0,-2.0,0.0,16029.0,16029.0,0.0,0.0,23-09-2021,Monthly_Report_Aug_2021
Tamil Nadu,312.0,312.0,-0.1,9368.0,9366.0,-2.0,0.0,16040.0,16040.0,0.0,0.0,23-07-2021,Monthly_Report_Jun_2021
Tamil Nadu,326.0,326.0,-0.1,9781.0,9779.0,-2.0,0.0,16846.0,16846.0,0.0,0.0,23-05-2021,Monthly_Report_April_2021.pdf
Tamil Nadu,306.0,306.0,0.0,9476.0,9477.0,1.0,0.0,16481.0,16481.0,0.0,0.0,23-04-2021,Monthly_Report_March_2021
Tamil Nadu,254.0,254.0,0.0,7886.0,7887.0,1.0,0.0,14163.0,14163.0,0.0,0.0,23-02-2021,Monthly_Report_January_2021
Tamil Nadu,266.0,266.0,0.0,7982.0,7984.0,1.0,0.0,15298.0,15298.0,0.0,0.0,23-12-2020,Monthly_Report_November_2020
Tamil Nadu,281.0,281.0,0.0,8435.0,8435.0,0.0,0.0,14836.0,14836.0,0.0,0.0,23-10-2020,Monthly_Report_September_2020
Tamil Nadu,270.0,269.0,0.0,8355.0,8354.0,-1.0,0.0,13589.0,13589.0,0.0,0.0,24-08-2020,Monthly_Report_July_2020
Tamil Nadu,290.0,290.0,0.1,8985.0,8988.0,3.0,0.0,14343.0,14343.0,0.0,0.0,22-06-2020,Monthly_Report_May_2020
Tamil Nadu,299.0,299.0,0.0,8368.0,8367.0,-1.0,0.0,15298.0,15298.0,0.0,0.0,23-03-2021,Monthly_Report_February_2021
Tamil Nadu,259.0,259.0,0.1,8033.0,8035.0,2.0,0.0,14238.0,14238.0,0.0,0.0,23-01-2021,Monthly_Report_December_2020
Tamil Nadu,296.0,296.0,0.0,9183.0,9185.0,1.0,0.0,14564.0,14564.0,0.0,0.0,23-11-2020,Monthly_Report_October_2020
Tamil Nadu,281.0,281.0,-0.1,8698.0,8696.0,-2.0,0.0,14491.0,14491.0,0.0,0.0,23-09-2020,Monthly_Report_August_2020
Tamil Nadu,300.0,300.0,0.1,9000.0,9003.0,2.0,0.0,14855.0,14814.0,-42.0,-0.3,21-07-2020,Monthly_Report_Jun_2020
Tamil Nadu,243.0,243.0,0.1,7287.0,7289.0,3.0,0.0,11577.0,11498.0,-79.0,-0.7,23-05-2020,Monthly_Report_Apr_2020
Tamil Nadu,309.0,309.0,0.1,9583.0,9586.0,3.0,0.0,15591.0,15591.0,0.0,0.0,23-04-2020,Monthly_Report_Mar_2020
Tamil Nadu,312.0,312.0,0.1,9052.0,9054.0,3.0,0.0,15128.0,15128.0,0.0,0.0,23-03-2020,Monthly_Report_Feb_2020
Tamil Nadu,266.0,253.0,-13.4,8246.0,7831.0,-415.0,-5.0,13978.0,13978.0,0.0,0.0,23-01-2020,Monthly_Report_Dec_2019
Tamil Nadu,272.0,272.0,0.1,8424.0,8427.0,3.0,0.0,14701.0,14701.0,0.0,0.0,22-11-2019,Monthly_Report_Oct_2019
Tamil Nadu,296.0,296.0,-0.1,9171.0,9169.0,-2.0,0.0,16386.0,16386.0,0.0,0.0,23-09-2019,Monthly_Report_Aug_2019
Tamil Nadu,335.0,335.0,-0.2,10051.0,10046.0,-5.0,0.0,14419.0,14411.0,-8.0,-0.1,22-07-2019,Monthly_Report_Jun_2019
Tamil Nadu,344.0,344.0,0.0,10308.0,10308.0,0.0,0.0,16386.0,16386.0,0.0,0.0,23-05-2019,Monthly_Report_April_2019
Tamil Nadu,309.0,309.0,0.1,9583.0,9586.0,3.0,0.0,15591.0,15591.0,0.0,0.0,23-04-2020,Monthly_Report_Mar_2020
Tamil Nadu,276.0,276.0,0.1,8544.0,8547.0,3.0,0.0,14719.0,14719.0,0.0,0.0,23-02-2020,Monthly_Report_Jan_2020
Tamil Nadu,275.0,275.0,0.1,8246.0,8249.0,3.0,0.0,14213.0,14213.0,0.0,0.0,23-12-2019,Monthly_Report_Nov_2019
Tamil Nadu,288.0,288.0,0.1,8633.0,8636.0,3.0,0.0,15133.0,15133.0,0.0,0.0,23-10-2019,Monthly_Report_Sep_2019
Tamil Nadu,317.0,317.0,-0.1,9841.0,9838.0,-3.0,0.0,14104.0,14103.0,-1.0,0.0,23-08-2019,Monthly_Report_Jul_2019
Tamil Nadu,342.0,342.0,0.0,10612.0,10611.0,-1.0,0.0,16014.0,15952.0,-63.0,-0.4,23-06-2019,Monthly_Report_May_2019
Tamil Nadu,340.0,340.0,-0.1,10548.0,10546.0,-2.0,0.0,16129.0,16129.0,0.0,0.0,23-04-2019,Monthly_Report_March_2019
Tamil Nadu,280.0,280.0,0.1,8681.0,8684.0,3.0,0.0,14971.0,14946.0,-25.0,-0.2,22-02-2019,Monthly Report January 2019
Tamil Nadu,266.0,265.0,-0.3,7971.0,7963.0,-8.0,-0.1,14971.0,14946.0,-25.0,-0.2,21-12-2018,Monthly Report November 2018
Tamil Nadu,314.3,314.0,-0.3,9430.4,9421.0,-9.4,-0.1,14971.0,14946.0,-25.0,-0.2,23-10-2018,Monthly Report September 2018
Tamil Nadu,310.3,310.1,-0.2,9619.7,9613.4,-6.3,-0.1,15139.0,15061.0,-78.0,-0.5,23-08-2018,Monthly Report July 2018
Tamil Nadu,318.3,318.0,-0.3,9868.3,9858.7,-9.6,-0.1,15251.0,15193.0,-58.0,-0.4,23-04-2018,Monthly Report March 2018
Tamil Nadu,278.1,277.9,-0.2,8620.9,8613.9,-6.9,-0.1,14406.0,14373.0,-33.0,-0.2,23-02-2018,Monthly Report January 2018
TNEB,269.5,269.2,-0.3,8085.2,8076.0,-9.2,-0.1,14561.0,14561.0,0.0,0.0,22-12-2017,Monthly Report November 2017
TNEB,276.2,276.0,-0.2,8286.0,8278.5,-7.4,-0.1,14037.0,14033.0,-4.0,0.0,23-10-2017,Monthly Report September 2017
TNEB,303.4,303.3,0.0,9404.4,9403.0,-1.5,0.0,14922.0,14918.0,-4.0,0.0,23-08-2017,Monthly Report July 2017
TNEB,312.5,312.4,-0.1,9687.4,9684.9,-2.5,0.0,15072.0,15035.0,-37.0,-0.2,23-06-2017,Monthly Report May 2017
Tamil Nadu,295.1,294.9,-0.2,8263.1,8257.0,-6.1,-0.1,14685.0,14681.0,-4.0,0.0,23-03-2018,Monthly Report February 2018
Tamil Nadu,295.1,294.9,-0.2,8263.1,8257.0,-6.1,-0.1,14685.0,14681.0,-4.0,0.0,23-03-2018,Monthly Report February 2018
Tamil Nadu,275.3,275.0,-0.2,8532.8,8526.3,-6.5,-0.1,13890.0,13890.0,0.0,0.0,23-01-2018,Monthly Report December 2017
TNEB,279.1,279.0,-0.1,8653.0,8650.4,-2.6,0.0,13956.0,13956.0,0.0,0.0,21-09-2017,Monthly Report August 2017
TNEB,318.0,317.8,-0.1,9539.0,9535.4,-3.6,0.0,15196.0,15196.0,0.0,0.0,25-05-2017,Monthly Report April 2017
TNEB,270.8,270.5,-0.3,8394.9,8385.8,-9.1,-0.1,13716.0,13716.0,0.0,0.0,22-11-2017,Monthly Report October 2017
TNEB,305.7,305.7,0.0,9171.0,9170.5,-0.5,0.0,14830.0,14776.0,-54.0,-0.4,21-07-2017,Monthly Report June 2017
TNEB,303.1,303.0,-0.1,9396.1,9392.7,-3.4,0.0,14613.0,14584.0,-29.0,-0.2,21-04-2017,Monthly Report March 2017
TNEB,267.3,267.3,0.0,8286.6,8287.4,0.8,0.0,14012.0,14008.0,-4.0,0.0,23-02-2017,Monthly Report January 2017
TNEB,281.9,281.9,0.0,7893.4,7893.6,0.2,0.0,14000.0,13954.0,-45.0,-0.3,23-03-2017,Monthly Report February 2017
TNEB,259.2,259.1,-0.1,8035.8,8032.4,-3.4,0.0,13584.0,13584.0,0.0,0.0,23-01-2017,Monthly Report December 2016
TNEB,296.2,296.1,-0.1,8885.9,8883.0,-2.9,0.0,14163.0,14163.0,0.0,0.0,23-12-2016,Monthly Report November 2016
TNEB,302.2,302.2,0.0,9067.2,9066.5,-0.7,0.0,14597.0,14568.0,-29.0,-0.2,24-10-2016,Monthly Report September 2016
TNEB,290.5,290.5,0.0,9006.6,9006.6,0.0,0.0,14723.0,14686.0,-37.0,-0.3,22-08-2016,Monthly Report July 2016
TNEB,299.8,299.8,0.0,9292.9,9294.1,1.2,0.0,15023.0,15015.0,-8.0,-0.1,23-06-2016,Monthly Report May 2016
TNEB,292.3,292.2,0.0,9060.4,9059.1,-1.3,0.0,14688.0,14688.0,0.0,0.0,23-11-2016,Monthly Report October 2016
TNEB,297.0,297.0,0.0,9207.2,9207.2,0.0,0.0,14431.0,14427.0,-4.0,0.0,23-09-2016,Monthly Report August 2016
TNEB,291.5,291.4,-0.1,8744.5,8742.8,-1.7,0.0,14640.0,14640.0,0.0,0.0,22-07-2016,Monthly Report June 2016
TNEB,328.2,328.1,-0.2,9847.4,9842.3,-5.1,-0.1,15107.0,15107.0,0.0,0.0,23-05-2016,Monthly Report April 2016
TNEB,275.3,275.2,-0.1,8535.4,8531.1,-4.2,0.0,13757.0,13658.0,-99.0,-0.7,18-01-2017,Monthly Report August 2015_R1
TNEB,288.8,287.1,-1.7,8952.7,8901.3,-51.4,-0.6,14615.0,13766.0,-849.0,-5.8,13-07-2016,Monthly Report July 2015
TNEB,275.3,275.2,-0.1,8535.4,8531.1,-4.2,0.0,13757.0,13658.0,-99.0,-0.7,13-07-2016,Monthly Report August 2015
TNEB,278.7,270.4,-8.3,8361.0,8111.7,-249.2,-3.0,12969.0,12727.0,-241.0,-1.9,13-07-2016,Monthly Report April 2015
TNEB,312.5,312.5,-0.1,9688.1,9686.3,-1.8,0.0,14567.0,14534.0,-33.0,-0.2,22-04-2016,Monthly Report March 2016
TNEB,289.2,289.2,0.0,8385.7,8386.7,1.0,0.0,14537.0,14533.0,-4.0,0.0,23-03-2016,Monthly Report February 2016
TNEB,268.7,268.5,-0.2,8330.5,8324.2,-6.2,-0.1,13307.0,13307.0,0.0,0.0,20-02-2016,Monthly Report October 2015
TNEB,283.3,279.1,-4.2,8498.0,8372.8,-125.2,-1.5,13833.0,13754.0,-78.0,-0.6,23-10-2015,Monthly Report September 2015
TNEB,276.7,275.2,-1.5,8301.9,8256.7,-45.2,-0.5,13278.0,13278.0,0.0,0.0,23-07-2015,Monthly Report June 2015
TNEB,270.4,263.4,-7.0,8381.5,8164.8,-216.7,-2.6,13295.0,13038.0,-258.0,-1.9,23-07-2015,Monthly Report May 2015
TNEB,262.9,262.9,0.0,8151.3,8150.4,-0.9,0.0,13576.0,13576.0,0.0,0.0,12-04-2016,Monthly Report January 2016
TNEB,217.0,216.9,-0.1,6511.1,6508.3,-2.9,0.0,12481.0,12481.0,0.0,0.0,12-04-2016,Monthly Report November 2015
TNEB,231.6,231.4,-0.2,7181.0,7174.1,-6.9,-0.1,12684.0,12680.0,-4.0,0.0,20-02-2016,Monthly Report December 2015
TNEB,289.3,279.6,-9.7,8969.0,8668.0,-301.0,-3.4,13695.0,13051.0,-644.0,-4.7,01-05-2015,Monthly Report March 2015
TNEB,273.9,265.9,-8.0,7669.1,7444.1,-225.0,-2.9,12813.0,12642.0,-171.0,-1.3,23-03-2015,Monthly Report February 2015
TNEB,255.3,246.7,-8.5,7913.0,7649.0,-264.0,-3.3,12901.0,12149.0,-752.0,-5.8,26-02-2015,Monthly Report January 2015
TNEB,242.9,232.6,-10.3,7531.0,7212.0,-319.0,-4.2,12121.0,11638.0,-483.0,-4.0,23-01-2015,Monthly Report December 2014
TNEB,268.8,264.1,-4.8,8065.0,7922.0,-147.8,-1.8,11411.0,13771.0,2360.0,20.7,23-12-2014,Monthly Report November 2014
TNEB,269.4,264.1,-5.3,8081.0,7922.0,-164.3,-2.0,13204.0,13200.0,-4.0,0.0,22-10-2014,Monthly Report September 2014
TNEB,260.6,258.5,-2.0,8078.1,8014.6,-63.5,-0.8,13024.4,12884.4,-140.0,-1.1,26-09-2014,Monthly Report August 2014
TNEB,285.0,284.0,-1.0,8557.0,8532.0,-25.0,0.0,13298.0,13293.0,-4.0,0.0,27-08-2014,Monthly Report July 2014
TNEB,296.0,274.0,-22.0,8881.0,8218.0,-663.0,-7.5,12766.0,12747.0,-19.0,-0.1,21-07-2014,Monthly Report April 2014
TNEB,242.8,232.6,-10.2,7528.0,7212.0,-316.0,-4.2,12519.0,11800.0,-719.0,-5.7,22-11-2014,Monthly Report October 2014
TNEB,283.0,280.0,-2.0,8479.0,8412.0,-67.0,-0.8,13804.0,13771.0,-33.0,-0.2,24-07-2014,Monthly Report June 2014
TNEB,275.0,265.0,-10.0,8518.0,8208.0,-300.0,-3.6,13186.0,12991.0,-195.0,-1.5,21-07-2014,Monthly Report May 2014
TNEB,279.0,264.0,-15.0,8640.0,8190.0,-450.0,-5.2,12969.0,12650.0,-319.0,-2.5,21-07-2014,Monthly Report March 2014
TNEB,266.0,254.0,-12.0,7446.0,7116.0,-330.0,-4.4,12581.0,12037.0,-544.0,-4.3,21-07-2014,Monthly Report February 2014
TNEB,252.0,247.0,-6.0,7821.0,7645.0,-176.0,-2.3,13475.0,12799.0,-676.0,-5.0,21-07-2014,Monthly Report January 2014
TNEB,266,254,-12,7446,7116,-330,-4.4,12581,12037,-544,-4.3,21-03-2014,Monthly Report February 2014
TNEB,252,247,-6,7821,7645,-176,-2.3,13475,12799,-676,-5.0,21-02-2014,Monthly Report January 2014
TNEB,248,235,-13,7692,7282,-410,-5.3,12096,11863,-233,-1.9,22-01-2014,Monthly Report December 2013
TNEB,240,215,-25,7203,6439,-764,-10.6,11095,11017,-78,-0.7,19-12-2013,Monthly Report November 2013
TNEB,252,245,-7,7811,7587,-224,-2.9,12810,12118,-692,-5.4,19-11-2013,Monthly Report October 2013
TNEB,279,264,-15,8640,8190,-450,-5.2,12969,12650,-319,-2.5,15-06-2015,Monthly Report March 2014_R1
TNEB,279,264,-15,8640,8190,-450,-5.2,12969,12650,-319,-2.5,24-04-2014,Monthly Report March 2014
TNEB,247,240,-8,7672,7430,-242,-3.2,12260,12092,-168,-1.4,19-09-2013,Monthly Report August 2013
TNEB,248,244,-4,7436,7306,-130,-1.7,12425,12218,-207,-1.7,18-10-2013,Monthly Report September 2013
TNEB,257,250,-7,7952,7736,-216,-3,12094,11794,-300,-2.5,22-08-2013,Monthly Report July 2013
TNEB,259,249,-10,7755,7466,-289,-4,12469,11854,-615,-5,23-07-2013,Monthly Report June 2013
TNEB,275,247,-29,8528,7643,-885,-10,12128,12035,-93,-1,22-06-2013,Monthly Report May 2013
TNEB,272,226,-46,8435,7006,-1429,-17,12249,11641,-608,-5,24-05-2013,Monthly Report April 2013
TNEB,268,216,-52,8299,6699,-1600,-19,12665,10783,-1882,-15,21-07-2014,Monthly Report March 2013
TNEB,258,212,-46,7233,5943,-1290,-18,11222,10258,-964,-9,21-07-2014,February 2013 Monthly Report
TNEB,253,214,-38,7840,6648,-1192,-15,11609,9942,-1667,-14,21-07-2014,January 2013 Monthly Report
TNEB,257,235,-23,7981,7272,-709,-9,11863,11105,-758,-6,21-07-2014,July 2012 Monthly Report
TNEB,260,200,-60,8047,6187,-1860,-23,13370,9625,-3745,-28,21-07-2014,Monthly Report Dec 2012
TNEB,232,177,-55,6949,5302,-1647,-24,10161,8518,-1643,-16,21-07-2014,Monthly Report November 2012
TNEB,233,180,-53,7226,5568,-1658,-23,12753,10477,-2276,-18,21-07-2014,Monthly Report October 2012
TNEB,254,208,-46,7612,6229,-1383,-18,11477,10534,-943,-8,21-07-2014,September 2012 Monthly Report
TNEB,253,218,-35,7851,6773,-1078,-14,11914,10751,-1163,-10,21-07-2014,August 2012 Monthly Report
TNEB,264,230,-35,7928,6893,-1035,-13,12548,11283,-1265,-10,21-07-2014,June 2012 Monthly Report
TNEB,254,222,-32,7605,6649,-956,-13,10968,10491,-477,-4,21-07-2014,May 2012 Monthly Report
TNEB,257,198,-59,7707,5940,-1767,-23,11661,10078,-1583,-14,21-07-2014,Monthly Report April 2012
TNEB,257,235,-23,7981,7272,-709,-9,11863,11105,-758,-6,21-07-2014,July 2012 Monthly Report
Tamil Nadu,307.4,306.9,-0.5,9528.5,9514.0,-14.5,-0.2,15192,15122,-70,-0.5,22-06-2018,Monthly Report May 2018
Tamil Nadu,312,312,0.0,8746,8747,1,0.0,15562,15562,0,0.0,22-03-2019,Monthly_report_February_2019
Tamil Nadu,284,284,-0.1,8807,8803,-4,0.0,14971,14946,-25,-0.2,23-01-2019,Monthly Report December 2018
Tamil Nadu,285.0,284.8,-0.3,8835.9,8828.0,-7.9,-0.1,14971,14946,-25,-0.2,22-11-2018,Monthly Report October 2018
Tamil Nadu,300.9,300.7,-0.2,9326.8,9320.9,-5.8,-0.1,15025,14984,-41,-0.3,23-09-2018,Monthly Report August 2018
Tamil Nadu,315.7,315.5,-0.2,9471.3,9464.3,-7.0,-0.1,15191,15183,-8,-0.1,23-07-2018,Monthly Report June 2018
Tamil Nadu,337.6,337.3,-0.3,10126.9,10118.4,-8.6,-0.1,15457,15411,-45,-0.3,23-05-2018,Monthly Report April 2018
